step,A,B,w00,w10,w20,y
0,0,0,0,0,0,0
1,0,0,0,0,1,1
2,0,0,0,0,-1,0
3,0,0,0,1,-1,0
4,0,0,0,1,1,1
5,0,0,0,1,0,0
6,0,0,0,-1,0,0
7,0,0,0,-1,1,1
8,0,0,0,-1,-1,0
9,0,0,1,-1,-1,0
10,0,0,1,-1,1,1
11,0,0,1,-1,0,0
12,0,0,1,1,0,0
13,0,0,1,1,1,1
14,0,0,1,1,-1,0
15,0,0,1,0,-1,0
16,0,0,1,0,1,1
17,0,0,1,0,0,0
18,0,0,-1,0,0,0
19,0,0,-1,0,1,1
20,0,0,-1,0,-1,0
21,0,0,-1,1,-1,0
22,0,0,-1,1,1,1
23,0,0,-1,1,0,0
24,0,0,-1,-1,0,0
25,0,0,-1,-1,1,1
26,0,0,-1,-1,-1,0
27,0,1,-1,-1,-1,0
28,0,1,-1,-1,1,0
29,0,1,-1,-1,0,0
30,0,1,-1,1,0,1
31,0,1,-1,1,1,2
32,0,1,-1,1,-1,0
33,0,1,-1,0,-1,0
34,0,1,-1,0,1,1
35,0,1,-1,0,0,0
36,0,1,1,0,0,0
37,0,1,1,0,1,1
38,0,1,1,0,-1,0
39,0,1,1,1,-1,0
40,0,1,1,1,1,2
41,0,1,1,1,0,1
42,0,1,1,-1,0,0
43,0,1,1,-1,1,0
44,0,1,1,-1,-1,0
45,0,1,0,-1,-1,0
46,0,1,0,-1,1,0
47,0,1,0,-1,0,0
48,0,1,0,1,0,1
49,0,1,0,1,1,2
50,0,1,0,1,-1,0
51,0,1,0,0,-1,0
52,0,1,0,0,1,1
53,0,1,0,0,0,0
54,0,-1,0,0,0,0
55,0,-1,0,0,1,1
56,0,-1,0,0,-1,0
57,0,-1,0,1,-1,0
58,0,-1,0,1,1,0
59,0,-1,0,1,0,0
60,0,-1,0,-1,0,1
61,0,-1,0,-1,1,2
62,0,-1,0,-1,-1,0
63,0,-1,1,-1,-1,0
64,0,-1,1,-1,1,2
65,0,-1,1,-1,0,1
66,0,-1,1,1,0,0
67,0,-1,1,1,1,0
68,0,-1,1,1,-1,0
69,0,-1,1,0,-1,0
70,0,-1,1,0,1,1
71,0,-1,1,0,0,0
72,0,-1,-1,0,0,0
73,0,-1,-1,0,1,1
74,0,-1,-1,0,-1,0
75,0,-1,-1,1,-1,0
76,0,-1,-1,1,1,0
77,0,-1,-1,1,0,0
78,0,-1,-1,-1,0,1
79,0,-1,-1,-1,1,2
80,0,-1,-1,-1,-1,0
81,1,-1,-1,-1,-1,0
82,1,-1,-1,-1,1,1
83,1,-1,-1,-1,0,0
84,1,-1,-1,1,0,0
85,1,-1,-1,1,1,0
86,1,-1,-1,1,-1,0
87,1,-1,-1,0,-1,0
88,1,-1,-1,0,1,0
89,1,-1,-1,0,0,0
90,1,-1,1,0,0,1
91,1,-1,1,0,1,2
92,1,-1,1,0,-1,0
93,1,-1,1,1,-1,0
94,1,-1,1,1,1,1
95,1,-1,1,1,0,0
96,1,-1,1,-1,0,2
97,1,-1,1,-1,1,3
98,1,-1,1,-1,-1,1
99,1,-1,0,-1,-1,0
100,1,-1,0,-1,1,2
101,1,-1,0,-1,0,1
102,1,-1,0,1,0,0
103,1,-1,0,1,1,0
104,1,-1,0,1,-1,0
105,1,-1,0,0,-1,0
106,1,-1,0,0,1,1
107,1,-1,0,0,0,0
108,1,1,0,0,0,0
109,1,1,0,0,1,1
110,1,1,0,0,-1,0
111,1,1,0,1,-1,0
112,1,1,0,1,1,2
113,1,1,0,1,0,1
114,1,1,0,-1,0,0
115,1,1,0,-1,1,0
116,1,1,0,-1,-1,0
117,1,1,1,-1,-1,0
118,1,1,1,-1,1,1
119,1,1,1,-1,0,0
120,1,1,1,1,0,2
121,1,1,1,1,1,3
122,1,1,1,1,-1,1
123,1,1,1,0,-1,0
124,1,1,1,0,1,2
125,1,1,1,0,0,1
126,1,1,-1,0,0,0
127,1,1,-1,0,1,0
128,1,1,-1,0,-1,0
129,1,1,-1,1,-1,0
130,1,1,-1,1,1,1
131,1,1,-1,1,0,0
132,1,1,-1,-1,0,0
133,1,1,-1,-1,1,0
134,1,1,-1,-1,-1,0
135,1,0,-1,-1,-1,0
136,1,0,-1,-1,1,0
137,1,0,-1,-1,0,0
138,1,0,-1,1,0,0
139,1,0,-1,1,1,0
140,1,0,-1,1,-1,0
141,1,0,-1,0,-1,0
142,1,0,-1,0,1,0
143,1,0,-1,0,0,0
144,1,0,1,0,0,1
145,1,0,1,0,1,2
146,1,0,1,0,-1,0
147,1,0,1,1,-1,0
148,1,0,1,1,1,2
149,1,0,1,1,0,1
150,1,0,1,-1,0,1
151,1,0,1,-1,1,2
152,1,0,1,-1,-1,0
153,1,0,0,-1,-1,0
154,1,0,0,-1,1,1
155,1,0,0,-1,0,0
156,1,0,0,1,0,0
157,1,0,0,1,1,1
158,1,0,0,1,-1,0
159,1,0,0,0,-1,0
160,1,0,0,0,1,1
161,1,0,0,0,0,0
162,-1,0,0,0,0,0
163,-1,0,0,0,1,1
164,-1,0,0,0,-1,0
165,-1,0,0,1,-1,0
166,-1,0,0,1,1,1
167,-1,0,0,1,0,0
168,-1,0,0,-1,0,0
169,-1,0,0,-1,1,1
170,-1,0,0,-1,-1,0
171,-1,0,1,-1,-1,0
172,-1,0,1,-1,1,0
173,-1,0,1,-1,0,0
174,-1,0,1,1,0,0
175,-1,0,1,1,1,0
176,-1,0,1,1,-1,0
177,-1,0,1,0,-1,0
178,-1,0,1,0,1,0
179,-1,0,1,0,0,0
180,-1,0,-1,0,0,1
181,-1,0,-1,0,1,2
182,-1,0,-1,0,-1,0
183,-1,0,-1,1,-1,0
184,-1,0,-1,1,1,2
185,-1,0,-1,1,0,1
186,-1,0,-1,-1,0,1
187,-1,0,-1,-1,1,2
188,-1,0,-1,-1,-1,0
189,-1,1,-1,-1,-1,0
190,-1,1,-1,-1,1,1
191,-1,1,-1,-1,0,0
192,-1,1,-1,1,0,2
193,-1,1,-1,1,1,3
194,-1,1,-1,1,-1,1
195,-1,1,-1,0,-1,0
196,-1,1,-1,0,1,2
197,-1,1,-1,0,0,1
198,-1,1,1,0,0,0
199,-1,1,1,0,1,0
200,-1,1,1,0,-1,0
201,-1,1,1,1,-1,0
202,-1,1,1,1,1,1
203,-1,1,1,1,0,0
204,-1,1,1,-1,0,0
205,-1,1,1,-1,1,0
206,-1,1,1,-1,-1,0
207,-1,1,0,-1,-1,0
208,-1,1,0,-1,1,0
209,-1,1,0,-1,0,0
210,-1,1,0,1,0,1
211,-1,1,0,1,1,2
212,-1,1,0,1,-1,0
213,-1,1,0,0,-1,0
214,-1,1,0,0,1,1
215,-1,1,0,0,0,0
216,-1,-1,0,0,0,0
217,-1,-1,0,0,1,1
218,-1,-1,0,0,-1,0
219,-1,-1,0,1,-1,0
220,-1,-1,0,1,1,0
221,-1,-1,0,1,0,0
222,-1,-1,0,-1,0,1
223,-1,-1,0,-1,1,2
224,-1,-1,0,-1,-1,0
225,-1,-1,1,-1,-1,0
226,-1,-1,1,-1,1,1
227,-1,-1,1,-1,0,0
228,-1,-1,1,1,0,0
229,-1,-1,1,1,1,0
230,-1,-1,1,1,-1,0
231,-1,-1,1,0,-1,0
232,-1,-1,1,0,1,0
233,-1,-1,1,0,0,0
234,-1,-1,-1,0,0,1
235,-1,-1,-1,0,1,2
236,-1,-1,-1,0,-1,0
237,-1,-1,-1,1,-1,0
238,-1,-1,-1,1,1,1
239,-1,-1,-1,1,0,0
240,-1,-1,-1,-1,0,2
241,-1,-1,-1,-1,1,3
242,-1,-1,-1,-1,-1,1
